Character,Mean Gap,Min Gap,Events,$\mu_{ln}$,$\sigma_{ln}$
Badrul,0.9040952380952382,0.16766666666666666,8.238095238095237,-0.6764428571428571,0.9153800000000001
Mrittika,0.639,0.125,3.8333333333333335,-0.7412333333333333,0.8312833333333334
